uri eriked ed inan ah uob on nuk irag irag,ガリガリ君の棒は何で出来ている？,駅の切符,1,ヤシの木,0,トイレットペーパーの芯,0,鉛筆,0,ハガキ,0,杉の木,0
ak oriknan ukosiz ah imaysuk,くしゃみは時速何kmか,320km,1,180km,0,70km,0,1km,0,0.7km,0,0.05km,0
ah aysiak urietis ukasies ow ur-ib ettakut ow iusnennet utiuy,唯一天然水を使ってビールを制作している会社は？,サントリー,1,アサヒビール,0,キリンビール,0,サッポロビール,0,オリオンビール,0,アンハイザー・ブッシュ・インベブ,0
uuyir on uotnoh uro in iekukaknnas ow -ap-epotteriot,トイレットペーパーを三角形に折る本当の理由,清掃員の「清掃済み」サイン,1,公共機関でのマナー,0,思いやり精神,0,引き出しやすくなる,0,見栄えが良い,0,特に理由はない,0
uran in oriinan ah ori ot unis ag noeremak,カメレオンが死ぬと、色は何色になる？,死んでもなお擬態する,1,緑,0,黒,0,白,0,茶色,0,ピンク,0
ah ikesuoh on utisies izano ot -ibur,ルビーと同じ性質の宝石は？,サファイア,1,ガーネット,0,ダイヤ,0,パール,0,アメジスト,0,トパーズ,0
ah iub on adarak ianeki ahettakut ed ur-ob-erab on iadneg,現代のバレーボールで使ってはいけない体の部位は？,なし,1,頭,0,足,0,肩,0,手のひら,0,お腹,0
urekun nohnan in itiniti ahekonimak,髪の毛は一日に何本抜ける？,約50本,1,約30本,0,約70本,0,約100本,0,約120本,0,全く抜けない,0
akinan aheros ianutotihota ot nn eh or is ed ot-erup-abnan on amuruk,車のナンバープレートで「し」「ろ」「へ」「ん」とあと一つない。それは何か？,お,1,ま,0,を,0,よ,0,り,0,や,0
ak iarukerod ah uoyr on iazukayttes urieterawakut in aysuodiz,自動車に使われている接着剤の量はどれくらいか？,3~10kg,1,0.5~3kg,0,10~15kg,0,15~20kg,0,20~30kg,0,30kg以上,0
akerod ah awak urus iaznos in iassiz,実際に北海道に存在する川はどれか？,ヤリキレナイ川,1,クルオシイ川,0,チョウシデナイ川,0,クルシイ川,0,オカシイ川,0,モッタイナイ川,0
ah uusiam ateru in nezies ed e on ohhog,ゴッホの絵で生前に売れた枚数は？,1枚,1,0枚,0,5枚,0,30枚,0,50枚,0,120枚,0
ah inuk ateramu on nas negurebumirug,グリムベルゲンさんの生まれた国は？,オランダ,1,アメリカ,0,ドイツ,0,フランス,0,イタリア,0,日本,0
ah isot ateras ag ubukag usneiasat- uypnok,コンピュータサイエンス学部が設立された年は？,2003年,1,1964年,0,1986年,0,1999年,0,2007年,0,2015年,0
inan otui ed ogie ow irienikunat,狸寝入りを英語で言うと何？,fox sleep,1,raccoon dog sleep,0,mouse sleep,0,cat sleep,0,bear sleep,0,horse sleep,0
ak aterawakut ed iketukom anuoyonod otomotom ah usnes,扇子は元々どのような目的で使われたか？,メモ帳,1,護身用の武器,0,楽器,0,祭用品,0,画布,0,芸術品,0
ak erod ah innat usawara ow iroyk uodi on usuam,マウスの移動距離を表す単位はどれか？,ミッキー,1,ミニー,0,ドナルド,0,デイジー,0,グーフィー,0,プルート,0
erod ah abotokanah on noys-en-ak on oriik noys-en-ak an iemuuy ed anah uruko in ihonahah?,母の日に贈る花で有名な「カーネーション」。黄色のカーネーションの花言葉はどれ？,軽蔑,1,家族愛,0,感謝,0,嫉妬,0,怒り,0,応援,0
uoysed atta arakuti iatti ah abotok uiot ijam,「マジ」という言葉は、一体いつからあったでしょう？,江戸時代,1,明治時代,0,昭和,0,平成,0,平安時代,0,縄文時代,0
uoysed mcnan ah at-ijeb on ur-obnogarod,ドラゴンボールのべジータは何ｃｍでしょう？,164cm,1,159cm,0,179cm,0,184cm,0,145cm,0,190cm,0
ah iernen on nasogana on amakanaysiak on nasousam on naseazas,サザエさんの、マスオさんの会社仲間のアナゴさんの年齢は？,２８歳,1,３２歳,0,５８歳,0,６２歳,0,４５歳,0,７０歳,0
inanah uoysiemikisies onuk-am@,@マークの正式名称は何？,単価記号,1,アットマーク,0,アドマーク,0,アルファマーク,0,加算記号,0,乗算記号,0
